G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,from_cache,epsilon,agent,trial_id,infection_count,infections_step
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.2,DegGreedy_private,0,36129,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 467, 527, 684, 926, 1236, 1649, 2190, 2780, 3241, 3745, 3887, 3656, 3231, 2475, 1784, 1232, 835, 470, 259, 141, 68, 21, 11, 3, 0, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.1,DegGreedy_private,5,36176,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 480, 563, 730, 1010, 1326, 1783, 2296, 2830, 3390, 3768, 3705, 3540, 2947, 2381, 1745, 1239, 781, 472, 296, 160, 84, 28, 8, 3, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.1,DegGreedy_private,7,35839,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 418, 540, 705, 991, 1350, 1806, 2322, 2844, 3423, 3843, 3759, 3511, 2908, 2289, 1661, 1195, 711, 460, 257, 143, 62, 19, 8, 2, 0, 1, 0, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.1,DegGreedy_private,3,36198,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 419, 501, 686, 840, 1125, 1508, 1940, 2505, 3077, 3490, 3755, 3671, 3373, 2788, 2110, 1441, 993, 608, 386, 212, 97, 34, 11, 9, 5, 3, 1, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.2,DegGreedy_private,5,35850,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 503, 577, 704, 944, 1221, 1630, 2146, 2605, 3197, 3577, 3742, 3540, 3084, 2446, 1842, 1284, 885, 572, 350, 210, 116, 49, 12, 4, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.2,Degree_total_noisy,8,36052,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 503, 640, 821, 1040, 1401, 1828, 2318, 2945, 3476, 3738, 3885, 3499, 2989, 2276, 1582, 1029, 670, 399, 226, 97, 47, 22, 5, 4, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.2,Degree_total_noisy,5,35608,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 463, 567, 781, 1006, 1331, 1722, 2223, 2667, 3134, 3414, 3592, 3433, 3031, 2474, 1862, 1295, 846, 567, 292, 165, 86, 29, 10, 5, 3, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.1,DegGreedy_private,8,36122,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 461, 595, 768, 1053, 1395, 1769, 2319, 2859, 3305, 3759, 3777, 3427, 2948, 2320, 1722, 1164, 787, 497, 305, 174, 73, 26, 9, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.2,DegGreedy_private,2,36318,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 471, 560, 686, 909, 1257, 1616, 2110, 2636, 3209, 3674, 3808, 3678, 3209, 2613, 1898, 1294, 869, 550, 347, 164, 97, 28, 16, 7, 2, 0]"
montgomery,750,none,0.05,True,-1,True,1,mont.json,0.2,Degree_total_noisy,6,36233,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 488, 567, 734, 956, 1324, 1740, 2300, 2880, 3493, 3764, 3858, 3568, 3009, 2367, 1708, 1237, 730, 431, 249, 119, 64, 20, 10, 3, 2, 2, 0]"
