id,peak,total
396,7685,46415
388,7692,46429
402,7998,46693
400,7780,46548
404,7877,46575
395,7637,46509
426,7747,46555
401,7745,46410
386,7782,46578
409,7967,46789
397,7843,46307
398,7762,46629
399,7883,46622
407,7717,46543
406,7695,46465
417,7867,46617
408,7668,46450
412,7778,46539
422,7763,46431
411,7770,46622
432,7757,46095
430,7854,46695
428,7763,46391
420,7678,46405
415,7810,46531
423,7752,46892
421,7841,46621
410,7818,46370
434,7745,46592
413,7879,46554
438,7726,46491
419,7989,46782
442,7943,46507
425,7790,46559
452,7706,46512
437,8012,46481
446,7859,46662
429,7847,46664
436,7996,46675
427,7782,46708
450,7966,46855
431,7790,46816
448,8139,46885
449,7860,46702
433,7882,46633
439,7748,46574
435,8066,46554
458,7984,46692
445,7793,46720
440,7941,46950
444,7841,46741
443,7775,46705
441,7803,47013
453,7856,46723
447,7738,46388
454,7881,46634
457,7806,46447
456,7821,46328
462,7840,46657
455,7726,46621
477,7934,46873
461,7956,46725
463,8178,46859
475,7835,46611
471,7934,46758
459,7774,46660
464,7981,47026
451,7988,46820
465,7777,46684
466,7899,46483
460,7849,46661
469,7688,46488
468,7856,46488
484,7854,46682
482,7956,46618
476,7807,46645
481,7905,46777
467,8016,46924
486,7800,46619
488,7776,46933
474,7969,46609
480,8161,46851
472,7870,46568
470,7900,46542
485,8039,46733
479,7926,46566
496,7960,46848
478,7865,46660
473,8001,46718
491,7853,47022
487,7930,46452
483,7786,46745
497,8001,46718
490,7750,46687
495,7946,46916
499,7935,46859
502,7693,46410
492,8094,46840
493,7822,46836
489,7996,46959
500,7745,46430
501,7956,46748
498,7971,46646
494,7780,46698
504,7798,46484
503,8043,46711
506,16852,88644
530,16093,87118
538,16404,87184
544,15876,86992
520,15972,86749
555,16226,87303
518,16206,86877
505,16927,88370
515,16102,86987
528,15867,86708
519,16218,86720
567,16054,86981
525,16026,86549
539,16208,86440
513,16406,87144
534,16168,86965
510,16636,87756
522,16128,86913
507,16661,88325
535,15918,86677
509,16678,88460
527,16052,87328
537,16128,86978
514,16550,87361
548,16035,86822
521,15962,86746
566,15982,87428
511,16378,87612
576,16074,87036
508,16713,88323
540,15999,86997
547,15945,87149
512,16371,87396
524,16065,86984
554,15934,87394
533,15896,87200
553,15975,86990
523,15841,86788
516,16035,87056
529,16002,86653
565,16166,87258
545,16024,87403
517,16444,87265
531,16069,87148
526,15904,86963
542,16123,87143
541,15901,86779
552,15991,87109
556,16146,87339
543,15896,87298
532,15944,87042
546,15835,87016
572,16017,86701
559,16013,86981
581,16092,87387
560,16169,86832
557,16019,86939
536,15967,86939
569,16260,87069
586,16315,87490
590,16326,87156
561,16200,87333
562,16079,87197
588,16197,86871
551,16137,86821
564,16232,87143
579,16094,87144
574,16109,87184
578,16280,87206
549,16158,87332
596,16413,87155
584,16114,87321
550,16063,87276
570,16026,87085
577,16416,87059
582,16445,87100
601,16300,87398
580,15847,87034
583,16434,87276
558,16004,87442
585,16534,87529
573,16073,87199
563,16048,87060
571,16255,87307
568,16255,87418
587,16076,87415
575,16187,87286
604,16535,87386
595,16302,86658
597,16259,87634
606,15910,87064
589,16102,87136
591,15865,87123
593,16179,87464
592,16144,87220
599,15995,87381
594,16232,87378
598,16247,87324
617,16286,87193
603,16115,87413
618,16281,87136
607,16291,87455
636,16344,87783
605,16460,87520
624,16242,87055
626,16181,87177
602,16153,87351
644,16592,88100
653,16327,87285
615,16341,87645
620,16015,87211
609,16465,87775
629,16288,87324
611,16422,87678
637,16359,87726
619,16580,87438
608,16063,87357
610,16519,87196
600,16061,87049
646,16393,87258
613,16269,87226
634,16246,87427
616,16540,87166
622,16319,87381
625,16554,87307
631,16181,87808
614,16400,87196
612,16168,87356
652,16163,87393
630,16448,87585
633,16393,87631
623,16142,87255
640,16544,87186
639,16465,88026
675,16711,87497
621,16018,87217
628,16161,87241
659,16272,87499
661,16551,87537
627,16239,87414
665,16270,87512
650,16274,87521
680,16375,87605
632,16340,87391
649,16216,86751
658,16462,87678
667,16285,87572
635,16198,87250
647,16374,87538
645,16489,87327
648,16164,87146
657,16245,87704
643,16146,87633
677,16605,87410
654,16144,87595
638,16263,87527
656,16130,87471
660,16733,87531
683,16420,87690
642,16072,87283
641,16329,87478
693,16181,87410
682,16594,87881
655,16535,87736
664,16244,87575
691,16897,87978
663,16235,87184
662,16659,87557
678,16316,87721
670,16410,87727
679,16520,87677
666,16422,87801
651,16396,87919
668,16296,87531
669,16711,87681
671,16313,87505
704,16628,87986
672,16332,87642
676,16377,87725
713,16541,87843
705,16579,87589
718,16316,87649
692,16558,87619
674,16441,87824
726,16812,87881
686,16325,87522
684,16737,87606
696,16450,87842
673,16162,87324
685,16720,87706
707,16506,87701
687,16328,87398
681,16540,87372
690,16465,87931
735,16338,87965
688,16366,87330
722,16628,88184
715,16719,87482
712,16569,87879
689,16420,87964
716,16623,87673
714,16635,87813
701,16405,87869
719,16514,87729
702,16435,87645
723,16305,87777
698,16709,87884
731,16605,88255
721,16411,87689
748,16439,87923
706,16528,87547
695,16599,87588
694,16377,87705
709,16365,87673
708,16635,87873
703,16574,87817
700,16215,87705
697,16491,87854
717,16475,87739
710,16509,87696
699,16402,87487
741,16490,87661
725,16317,87331
740,16654,87654
729,16495,87491
734,16283,88001
711,16546,87806
737,16496,88034
742,16648,87982
720,16542,87702
727,16510,87629
750,16418,87921
754,16599,88039
724,16665,88089
728,16324,87760
736,16351,87939
767,16220,87437
739,16537,87725
730,16365,87996
747,16362,87719
757,16466,88096
762,16528,88122
770,16535,87914
733,16390,88108
774,16641,87686
775,16668,87957
732,16497,87647
743,16376,87612
738,16654,87910
746,16510,87659
782,16520,87686
765,16679,88141
745,16623,88321
755,16894,88294
752,16885,87707
769,16526,87931
756,16682,88236
766,16421,87674
761,16791,88025
751,16517,87873
744,16359,88038
753,16879,87965
749,16655,87986
794,16564,87873
803,16714,88500
758,16324,87882
795,16480,87888
779,16296,87461
760,16509,87891
783,16242,87715
764,16429,87774
781,16691,87987
786,16786,88059
788,16663,88239
771,16614,88167
812,16495,87807
759,16272,87579
763,16523,87930
776,16558,87832
792,16488,88065
772,16546,87738
798,16645,88040
791,16602,88209
778,16703,88078
789,16414,88481
768,16230,87534
773,16479,87972
821,16634,88204
780,16350,88082
809,16691,88290
777,16682,87716
817,16582,87955
787,16625,87964
790,16836,88129
814,16614,88055
784,16788,88041
830,16389,87730
799,16384,88200
815,16818,88219
785,16517,88345
797,16506,87773
801,16572,88139
806,16872,88217
796,16679,87977
804,16743,88004
836,16766,87954
793,16611,88347
800,16698,88144
810,16790,88053
813,16881,88194
841,16861,88206
822,16513,88075
805,16578,87793
825,16657,88372
848,16620,87805
802,16833,88177
829,16808,88341
843,16449,88052
807,16786,88043
833,16622,88441
835,16600,88270
811,16767,87935
808,16953,87724
818,16509,88216
838,16841,88540
831,16748,88403
816,16541,87953
820,16906,87947
827,16630,88296
824,16641,87880
823,16688,88173
834,16804,87977
869,16671,88036
828,16663,87983
849,16630,88146
819,16607,88357
832,16636,88517
826,16687,88020
844,16622,88017
858,16611,88086
840,16764,88549
863,16893,88145
850,16645,87910
839,16807,88130
868,16720,87866
842,16635,87916
866,16756,88637
878,16990,88419
856,16512,88526
851,16731,88499
837,16641,88144
862,16924,88220
879,16713,87924
859,17118,88328
854,16861,88097
845,16825,88325
855,16639,88211
852,16701,87995
872,17049,88500
846,16731,88549
857,16639,88155
860,16558,88321
847,16785,88352
886,16703,88363
865,16716,87859
864,16921,88372
888,16979,88184
861,16769,88223
881,16783,87854
889,16816,88299
874,16796,88014
901,16989,88710
853,16554,88377
867,16926,88474
883,16882,88434
876,16661,88300
882,16789,88794
873,16797,88226
893,16682,88381
894,16587,88210
891,16967,88460
902,17084,88941
925,16935,88384
870,16870,88174
898,16788,88372
877,16510,88326
875,16760,88020
871,16859,88359
884,16726,88431
885,16818,88490
892,16974,88430
899,16708,88201
887,16758,88270
890,16716,88506
895,16771,88541
917,16761,88451
880,16678,88356
930,16753,88578
911,16751,88707
921,16925,88708
900,16876,88258
897,16945,88489
916,16954,88266
936,16815,88697
919,16723,88392
933,16851,88420
909,16882,88065
896,17062,88610
908,16730,88413
905,16758,88622
923,16684,88511
915,16679,88256
913,16844,88273
903,16692,88327
906,16703,88248
904,16656,88353
942,16755,88658
929,16745,88983
937,16880,88236
918,16883,88426
907,16821,88096
948,17032,88526
922,17144,88742
943,16724,88490
910,17041,88346
914,16811,88636
912,16850,88561
928,16697,88616
926,17111,88518
944,16849,88557
924,16978,88429
945,16948,88391
959,17116,88444
960,16848,88608
920,16542,88557
931,16723,88146
932,16876,88836
954,16879,88675
935,16833,88430
927,17106,88504
949,16870,88457
939,16845,88648
966,17036,88631
956,17106,88714
934,16892,88397
950,16813,88436
958,16866,88449
953,16783,88406
978,16727,88652
955,16874,88821
1013,7974,46682
1017,7990,46760
1018,7804,46331
1012,8057,46495
1010,7722,46474
941,16888,88356
967,16869,88724
1015,8028,46478
1014,7886,46418
1011,8045,46747
946,16990,88412
983,17055,88603
1016,7847,46536
938,16781,88244
970,16969,88830
1021,7758,46393
940,17026,88426
1019,7980,46604
952,16845,88468
1029,7805,46509
1024,7872,46657
