id,graph,budget,agent,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,discovery_rate,snitch_rate,from_cache,trial_id,seed
58,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mp10.json,0,67121
59,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mo29.json,0,69479
60,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mo14.json,0,89475
61,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,ma7.json,0,19457
62,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mk26.json,0,66557
63,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,md18.json,0,77189
64,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mo34.json,0,78953
65,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,ml25.json,0,52995
66,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mc21.json,0,40757
67,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mb6.json,0,9692
68,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mm7.json,0,45758
69,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mj33.json,0,72409
70,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mn35.json,0,71211
71,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mk33.json,0,65697
72,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mp24.json,0,37065
73,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mp26.json,0,92093
74,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mo19.json,0,99299
75,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mh28.json,0,32606
76,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mg32.json,0,11534
77,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mg33.json,0,94663
78,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,md34.json,0,40397
79,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mf17.json,0,91387
80,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mf14.json,0,1016
81,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mc28.json,0,89789
82,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,md35.json,0,55591
83,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mh8.json,0,89812
84,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mn10.json,0,23247
85,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mf12.json,0,24300
86,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mh26.json,0,74065
87,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,me15.json,0,82798
88,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mf35.json,0,9268
89,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mj30.json,0,86807
90,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mc33.json,0,12185
91,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,md19.json,0,63704
92,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mc13.json,0,86779
93,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,ml28.json,0,39099
94,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,ma18.json,0,8571
95,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mi32.json,0,38044
96,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,ma29.json,0,51214
97,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mh19.json,0,61228
98,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mg7.json,0,48984
99,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mh20.json,0,40774
100,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,md30.json,0,2568
101,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,ml30.json,0,62592
102,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,me14.json,0,67563
103,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mi20.json,0,2695
104,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mn20.json,0,48190
105,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,md6.json,0,5258
106,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mn32.json,0,87538
107,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mm26.json,0,39504
108,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mn6.json,0,33159
109,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,ma5.json,0,13986
110,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mk13.json,0,61858
111,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mp28.json,0,12666
112,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mn7.json,0,38660
113,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,me7.json,0,3561
114,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mm22.json,0,26854
115,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mf33.json,0,64505
116,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mk9.json,0,52251
117,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mc18.json,0,22662
118,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mj15.json,0,8392
119,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mg10.json,0,30535
120,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mf7.json,0,78603
121,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mf8.json,0,52256
122,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,me34.json,0,89135
123,montgomery,750,binary_segmented_greedy,A,0.05,True,-1.0,True,1.0,1.0,mm19.json,0,35222
