id,milp_obj,expected_obj,is_optimal,I_size,v1_size,v2_size,time
1,3.3875680570210887,3.5791280047886938,,292,1211,2469,0.0030483149994324776
0,30.982480210390293,35.509770571873844,,1773,6880,9080,0.014904980999745021
5,0.23206367330277833,0.24010302269853478,,21,102,238,0.0010346600001867046
7,80.61053316730016,99.58736388446323,,190,3494,25703,0.007763030999740295
9,0.4284780379316307,0.45933636313012927,,67,281,627,0.0009340890001112712
2,268.07593628885274,482.0633783826477,,3453,30249,26739,0.06708335600069404
10,16.686568058547024,18.358349825571015,,984,3825,6262,0.008777794000707217
3,237.04283681165762,409.35015079369026,,4453,30929,22865,0.06698266099920147
13,2.576208709603928,2.692987159382427,,228,1020,2031,0.002560865000305057
15,0.8686033735359692,0.90706892319009,,100,461,955,0.0013256279999040999
4,196.33840917352987,317.9027886710772,,5269,29650,19475,0.06029968500024552
16,0.11800553663830761,0.12645365602310432,,13,58,123,0.0006003120006425888
17,0.8385742989403238,0.8585536908637117,,105,487,1114,0.0013493540000126814
6,143.86139334798216,210.5391395010727,,5725,25448,16053,0.054810475000522274
8,134.43570467987985,194.32988974587408,,5774,24681,15510,0.05251308999959292
11,266.4041632019086,476.6474663104669,,3502,29801,26450,0.06647659800000838
19,27.885041558585627,31.83397805281157,,1561,6189,8395,0.015460202999747708
20,38.17740127368088,44.25341345468079,,2117,8166,10082,0.018636969999533903
21,0.10329346095713698,0.10335136207532614,,17,70,146,0.0009336840003015823
22,0.01717410557455075,0.017174105574550902,,1,3,6,0.00030872600018483354
12,131.33643388404286,187.42317874008978,,5651,24167,15622,0.055349430999740434
14,125.32257555474203,178.49214312150673,,5523,23251,15220,0.050505054000495875
24,0.15754503922816301,0.1587180424017638,,20,74,161,0.000942618999943079
26,0.7558555279771544,0.7873238549394217,,110,481,1072,0.0013742150003963616
27,0.012884031204456763,0.01290660075559158,,2,17,26,0.0004263439996066154
28,0,0,,0,0,0,0.00025987000026361784
18,131.55258093834834,187.02437251547124,,5778,24395,15250,0.05367258499973104
30,0.3709689482165229,0.3904365439636467,,40,183,430,0.0007002600004852866
31,16.762656956695153,18.313974341122968,,962,3920,6352,0.019213792999835277
23,226.1014547789738,375.5736368137283,,4657,30690,21793,0.06518175299970608
32,31.76521190468662,36.67641023698554,,1816,6854,9201,0.016450862000056077
34,9.833170600734736,10.603205444256549,,622,2667,4611,0.006024677999448613
35,2.6271969899931715,2.729527501856421,,233,1056,2119,0.0026553939997029374
37,0.007111080563717284,0.007430001721298374,,2,11,19,0.0002753790004135226
29,111.58561015234733,156.3085935608937,,5491,22514,14430,0.051306446000126016
25,173.73512875522897,265.5073045615251,,5792,28528,17844,0.06326979999994364
38,0.07918640988873385,0.0806093871095841,,7,57,120,0.00041711799985932885
39,0.470337217267952,0.4872686810512413,,76,289,648,0.0012332689993854729
41,12.528514583275975,13.731185083372628,,755,3137,5385,0.007360668999353948
36,230.94140005458794,349.6891274134472,,730,11651,39436,0.024920787000155542
33,160.99883708728694,245.99612111805413,,5639,27783,17266,0.060294705999695
