G,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,snitch_rate,from_cache,agent,target,trial_id,equivalent_budget
montgomery,none,0.05,True,0.8,True,0.6,c7.json,segmented_greedy,35135,0,1060
montgomery,none,0.05,True,0.8,True,0.58,c7.json,segmented_greedy,35135,0,1055
montgomery,none,0.05,True,0.8,True,0.74,c7.json,DepRound_fair,35135,0,720
montgomery,none,0.05,True,0.8,True,0.57,c7.json,segmented_greedy,35135,0,1060
montgomery,none,0.05,True,0.8,True,0.54,c7.json,segmented_greedy,35135,0,1060
montgomery,none,0.05,True,0.8,True,0.79,c7.json,DegGreedy_fair,35135,0,680
montgomery,none,0.05,True,0.8,True,0.81,c7.json,DegGreedy_fair,35135,0,668
montgomery,none,0.05,True,0.8,True,0.63,c7.json,segmented_greedy,35135,0,1068
montgomery,none,0.05,True,0.8,True,0.8,c7.json,DegGreedy_fair,35135,0,672
montgomery,none,0.05,True,0.8,True,0.64,c7.json,segmented_greedy,35135,0,1073
montgomery,none,0.05,True,0.8,True,0.65,c7.json,segmented_greedy,35135,0,1066
montgomery,none,0.05,True,0.8,True,0.75,c7.json,DepRound_fair,35135,0,717
montgomery,none,0.05,True,0.8,True,0.66,c7.json,segmented_greedy,35135,0,1081
montgomery,none,0.05,True,0.8,True,0.83,c7.json,DegGreedy_fair,35135,0,668
montgomery,none,0.05,True,0.8,True,0.82,c7.json,DegGreedy_fair,35135,0,666
montgomery,none,0.05,True,0.8,True,0.84,c7.json,DegGreedy_fair,35135,0,657
montgomery,none,0.05,True,0.8,True,0.85,c7.json,DegGreedy_fair,35135,0,659
montgomery,none,0.05,True,0.8,True,0.76,c7.json,DepRound_fair,35135,0,713
montgomery,none,0.05,True,0.8,True,0.86,c7.json,DegGreedy_fair,35135,0,654
montgomery,none,0.05,True,0.8,True,0.67,c7.json,segmented_greedy,35135,0,1066
montgomery,none,0.05,True,0.8,True,0.77,c7.json,DepRound_fair,35135,0,710
montgomery,none,0.05,True,0.8,True,0.87,c7.json,DegGreedy_fair,35135,0,659
montgomery,none,0.05,True,0.8,True,0.68,c7.json,segmented_greedy,35135,0,1064
montgomery,none,0.05,True,0.8,True,0.88,c7.json,DegGreedy_fair,35135,0,656
montgomery,none,0.05,True,0.8,True,0.89,c7.json,DegGreedy_fair,35135,0,648
montgomery,none,0.05,True,0.8,True,0.78,c7.json,DepRound_fair,35135,0,706
montgomery,none,0.05,True,0.8,True,0.69,c7.json,segmented_greedy,35135,0,1068
montgomery,none,0.05,True,0.8,True,0.9,c7.json,DegGreedy_fair,35135,0,652
montgomery,none,0.05,True,0.8,True,0.71,c7.json,segmented_greedy,35135,0,1073
montgomery,none,0.05,True,0.8,True,0.72,c7.json,segmented_greedy,35135,0,1076
montgomery,none,0.05,True,0.8,True,0.91,c7.json,DegGreedy_fair,35135,0,647
montgomery,none,0.05,True,0.8,True,0.79,c7.json,DepRound_fair,35135,0,710
montgomery,none,0.05,True,0.8,True,0.7,c7.json,segmented_greedy,35135,0,1069
montgomery,none,0.05,True,0.8,True,0.73,c7.json,segmented_greedy,35135,0,1069
montgomery,none,0.05,True,0.8,True,0.92,c7.json,DegGreedy_fair,35135,0,642
montgomery,none,0.05,True,0.8,True,0.8,c7.json,DepRound_fair,35135,0,698
montgomery,none,0.05,True,0.8,True,0.81,c7.json,DepRound_fair,35135,0,696
montgomery,none,0.05,True,0.8,True,0.75,c7.json,segmented_greedy,35135,0,1064
montgomery,none,0.05,True,0.8,True,0.93,c7.json,DegGreedy_fair,35135,0,650
montgomery,none,0.05,True,0.8,True,0.82,c7.json,DepRound_fair,35135,0,701
montgomery,none,0.05,True,0.8,True,0.94,c7.json,DegGreedy_fair,35135,0,638
montgomery,none,0.05,True,0.8,True,0.74,c7.json,segmented_greedy,35135,0,1074
montgomery,none,0.05,True,0.8,True,0.83,c7.json,DepRound_fair,35135,0,701
montgomery,none,0.05,True,0.8,True,0.84,c7.json,DepRound_fair,35135,0,689
montgomery,none,0.05,True,0.8,True,0.95,c7.json,DegGreedy_fair,35135,0,643
montgomery,none,0.05,True,0.8,True,0.76,c7.json,segmented_greedy,35135,0,1069
montgomery,none,0.05,True,0.8,True,0.85,c7.json,DepRound_fair,35135,0,685
montgomery,none,0.05,True,0.8,True,0.96,c7.json,DegGreedy_fair,35135,0,635
montgomery,none,0.05,True,0.8,True,0.77,c7.json,segmented_greedy,35135,0,1081
montgomery,none,0.05,True,0.8,True,0.87,c7.json,DepRound_fair,35135,0,696
montgomery,none,0.05,True,0.8,True,0.98,c7.json,DegGreedy_fair,35135,0,635
montgomery,none,0.05,True,0.8,True,0.97,c7.json,DegGreedy_fair,35135,0,643
montgomery,none,0.05,True,0.8,True,0.86,c7.json,DepRound_fair,35135,0,685
montgomery,none,0.05,True,0.8,True,0.89,c7.json,DepRound_fair,35135,0,689
montgomery,none,0.05,True,0.8,True,0.78,c7.json,segmented_greedy,35135,0,1073
montgomery,none,0.05,True,0.8,True,0.88,c7.json,DepRound_fair,35135,0,685
montgomery,none,0.05,True,0.8,True,0.99,c7.json,DegGreedy_fair,35135,0,638
montgomery,none,0.05,True,0.8,True,0.9,c7.json,DepRound_fair,35135,0,687
montgomery,none,0.05,True,0.8,True,1.0,c7.json,DegGreedy_fair,35135,0,635
montgomery,none,0.05,True,0.8,True,0.81,c7.json,segmented_greedy,35135,0,1076
montgomery,none,0.05,True,0.8,True,0.79,c7.json,segmented_greedy,35135,0,1069
montgomery,none,0.05,True,0.8,True,0.82,c7.json,segmented_greedy,35135,0,1071
montgomery,none,0.05,True,0.8,True,0.91,c7.json,DepRound_fair,35135,0,675
montgomery,none,0.05,True,0.8,True,0.8,c7.json,segmented_greedy,35135,0,1060
montgomery,none,0.05,True,0.8,True,0.92,c7.json,DepRound_fair,35135,0,682
montgomery,none,0.05,True,0.8,True,0.93,c7.json,DepRound_fair,35135,0,677
montgomery,none,0.05,True,0.8,True,0.83,c7.json,segmented_greedy,35135,0,1074
montgomery,none,0.05,True,0.8,True,0.84,c7.json,segmented_greedy,35135,0,1079
montgomery,none,0.05,True,0.8,True,0.86,c7.json,segmented_greedy,35135,0,1071
montgomery,none,0.05,True,0.8,True,0.85,c7.json,segmented_greedy,35135,0,1081
montgomery,none,0.05,True,0.8,True,0.94,c7.json,DepRound_fair,35135,0,682
montgomery,none,0.05,True,0.8,True,0.87,c7.json,segmented_greedy,35135,0,1078
montgomery,none,0.05,True,0.8,True,0.95,c7.json,DepRound_fair,35135,0,672
montgomery,none,0.05,True,0.8,True,0.89,c7.json,segmented_greedy,35135,0,1076
montgomery,none,0.05,True,0.8,True,0.88,c7.json,segmented_greedy,35135,0,1069
montgomery,none,0.05,True,0.8,True,0.96,c7.json,DepRound_fair,35135,0,679
montgomery,none,0.05,True,0.8,True,0.9,c7.json,segmented_greedy,35135,0,1081
montgomery,none,0.05,True,0.8,True,0.97,c7.json,DepRound_fair,35135,0,677
montgomery,none,0.05,True,0.8,True,0.98,c7.json,DepRound_fair,35135,0,677
montgomery,none,0.05,True,0.8,True,0.91,c7.json,segmented_greedy,35135,0,1069
montgomery,none,0.05,True,0.8,True,0.99,c7.json,DepRound_fair,35135,0,665
montgomery,none,0.05,True,0.8,True,0.93,c7.json,segmented_greedy,35135,0,1083
montgomery,none,0.05,True,0.8,True,1.0,c7.json,DepRound_fair,35135,0,670
montgomery,none,0.05,True,0.8,True,0.92,c7.json,segmented_greedy,35135,0,1079
montgomery,none,0.05,True,0.8,True,0.95,c7.json,segmented_greedy,35135,0,1090
montgomery,none,0.05,True,0.8,True,0.94,c7.json,segmented_greedy,35135,0,1079
montgomery,none,0.05,True,0.8,True,0.96,c7.json,segmented_greedy,35135,0,1083
montgomery,none,0.05,True,0.8,True,0.97,c7.json,segmented_greedy,35135,0,1073
montgomery,none,0.05,True,0.8,True,0.98,c7.json,segmented_greedy,35135,0,1076
montgomery,none,0.05,True,0.8,True,1.0,c7.json,segmented_greedy,35135,0,1083
montgomery,none,0.05,True,0.8,True,0.99,c7.json,segmented_greedy,35135,0,1074
