G,budget,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,discovery_rate,snitch_rate,from_cache,agent,trial_id,q_age_count,infection_count,infections_step
montgomery,250,equal,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,2,"[0.05691182370914478, 0.05871243225488586, 0.0584739263803681, 0.05516014234875445, 0.05798512747875354]",39126,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 465, 662, 1021, 1361, 1987, 2699, 3579, 4261, 4739, 4657, 4010, 3179, 2244, 1491, 928, 575, 325, 187, 93, 38, 10, 4, 1, 0]"
montgomery,250,equal,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,5,"[0.057313045893645255, 0.05608474297914272, 0.05725971370143149, 0.05465175394001017, 0.05833923512747875]",39080,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 474, 672, 999, 1421, 2068, 2911, 3680, 4467, 4795, 4560, 3933, 3030, 2112, 1346, 880, 519, 312, 173, 75, 35, 8, 0]"
montgomery,250,equal,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,6,"[0.05685009721922163, 0.05665955000821153, 0.05789877300613497, 0.05236400610066091, 0.05736543909348442]",39465,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 487, 749, 1068, 1553, 2295, 3143, 4220, 4768, 4977, 4598, 3694, 2754, 1805, 1110, 730, 404, 255, 127, 78, 25, 11, 2, 2, 0]"
montgomery,250,equal,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,4,"[0.056418011789759574, 0.0567416652980785, 0.05706799591002045, 0.05490594814438231, 0.05771954674220963]",39219,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 462, 659, 974, 1435, 2041, 2832, 3704, 4597, 4926, 4693, 3911, 2938, 2102, 1402, 886, 493, 280, 154, 88, 23, 7, 2, 0]"
montgomery,250,equal,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,9,"[0.056078516095182246, 0.057316472327147316, 0.05732361963190184, 0.05693950177935943, 0.05771954674220963]",39117,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 453, 697, 1078, 1512, 2211, 2959, 3841, 4633, 4871, 4489, 3856, 2939, 1982, 1283, 794, 449, 241, 129, 58, 26, 6, 0]"
montgomery,250,old,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,0,"[0.04928860220363569, 0.08843816718673017, 0.049079754601226995, 0.0460091509913574, 0.0484242209631728]",38943,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 487, 691, 995, 1441, 2034, 3004, 3835, 4724, 4947, 4671, 3820, 2828, 1957, 1259, 760, 443, 246, 110, 57, 14, 8, 1, 1, 0]"
montgomery,250,old,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,3,"[0.04965896114317459, 0.09106585646247331, 0.05125255623721881, 0.04829689883070666, 0.049486543909348445]",38964,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 455, 651, 989, 1388, 1982, 2715, 3656, 4455, 4853, 4660, 3887, 3078, 2193, 1444, 893, 526, 282, 151, 62, 24, 9, 1, 0]"
montgomery,250,old,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,2,"[0.048918243264096786, 0.08942355066513384, 0.05093302658486708, 0.0485510930350788, 0.049398016997167137]",38870,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 477, 690, 1005, 1404, 2011, 2815, 3680, 4520, 4835, 4571, 3899, 3013, 2093, 1420, 834, 490, 283, 118, 79, 14, 6, 1, 0, 2, 0]"
montgomery,250,old,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,4,"[0.048918243264096786, 0.08983412711446871, 0.04844069529652352, 0.04753431621759024, 0.049220963172804534]",39037,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 451, 675, 984, 1410, 2039, 2853, 3907, 4866, 5070, 4757, 3870, 2821, 1940, 1222, 748, 403, 233, 105, 48, 17, 7, 1, 0]"
montgomery,250,old,0.05,True,0.8,True,1,1,c7.json,DegGreedy_fair,6,"[0.04851702107959631, 0.09123008704220725, 0.04863241308793456, 0.04778851042196238, 0.05072592067988668]",39266,"[0, 10, 7, 12, 20, 52, 80, 160, 269, 486, 692, 1042, 1538, 2236, 3031, 3950, 4682, 4930, 4666, 3767, 2738, 1892, 1234, 805, 465, 263, 150, 61, 19, 8, 1, 0]"
