id,graph,budget,agent,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,discovery_rate,snitch_rate,from_cache,trial_id,seed
261,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,me28.json,0,71295
262,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mf25.json,0,88614
263,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,me27.json,0,11111
264,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mn14.json,0,37504
265,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mn8.json,0,1802
266,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,md26.json,0,8155
267,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mj29.json,0,73656
268,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,ma21.json,0,39384
269,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mk16.json,0,47254
270,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mj17.json,0,21918
271,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mo10.json,0,85981
272,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mm20.json,0,60713
273,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mi16.json,0,30306
274,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mc25.json,0,16646
275,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mm11.json,0,46843
276,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mg15.json,0,96601
277,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mg27.json,0,90735
278,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mf32.json,0,16371
279,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mg26.json,0,77371
280,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mn23.json,0,2049
281,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mf26.json,0,31616
282,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mb12.json,0,20932
283,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mh6.json,0,29855
284,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mo12.json,0,61434
285,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mo7.json,0,72694
286,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,ml24.json,0,43016
287,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mj35.json,0,7400
288,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mb23.json,0,42642
289,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mi29.json,0,15151
290,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mi21.json,0,51407
291,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mg23.json,0,66690
292,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mn24.json,0,4499
293,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mf27.json,0,6295
294,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mb15.json,0,59040
295,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mc8.json,0,12183
296,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,md14.json,0,29299
297,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mb24.json,0,12874
298,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,ml15.json,0,32711
299,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mg6.json,0,5539
300,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mj5.json,0,53351
301,montgomery,750,Random,A,0.05,True,-1.0,True,1.0,1.0,mi6.json,0,61267
