id,graph,budget,agent,agent_params,policy,transmission_rate,transmission_known,compliance_rate,compliance_known,discovery_rate,snitch_rate,from_cache,trial_id,seed
49,montgomery,750,binary_segmented_greedy,{'k1': 0.09},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,76552
50,montgomery,750,binary_segmented_greedy,{'k1': 0.1},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,23897
51,montgomery,750,binary_segmented_greedy,{'k1': 0.1},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,68148
52,montgomery,750,binary_segmented_greedy,{'k1': 0.1},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,23483
53,montgomery,750,binary_segmented_greedy,{'k1': 0.1},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,48555
54,montgomery,750,binary_segmented_greedy,{'k1': 0.1},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,17159
55,montgomery,750,binary_segmented_greedy,{'k1': 0.11},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,80077
56,montgomery,750,binary_segmented_greedy,{'k1': 0.11},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,35920
57,montgomery,750,binary_segmented_greedy,{'k1': 0.11},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,92067
58,montgomery,750,binary_segmented_greedy,{'k1': 0.11},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,67121
59,montgomery,750,binary_segmented_greedy,{'k1': 0.11},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,69479
60,montgomery,750,binary_segmented_greedy,{'k1': 0.12},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,89475
61,montgomery,750,binary_segmented_greedy,{'k1': 0.12},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,19457
62,montgomery,750,binary_segmented_greedy,{'k1': 0.12},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,66557
63,montgomery,750,binary_segmented_greedy,{'k1': 0.12},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,77189
64,montgomery,750,binary_segmented_greedy,{'k1': 0.12},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,78953
65,montgomery,750,binary_segmented_greedy,{'k1': 0.13},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,52995
66,montgomery,750,binary_segmented_greedy,{'k1': 0.13},A,0.05,False,-1.0,False,1.0,1.0,c7.json,1,40757
67,montgomery,750,binary_segmented_greedy,{'k1': 0.13},A,0.05,False,-1.0,False,1.0,1.0,c7.json,2,9692
68,montgomery,750,binary_segmented_greedy,{'k1': 0.13},A,0.05,False,-1.0,False,1.0,1.0,c7.json,3,45758
69,montgomery,750,binary_segmented_greedy,{'k1': 0.13},A,0.05,False,-1.0,False,1.0,1.0,c7.json,4,72409
70,montgomery,750,binary_segmented_greedy,{'k1': 0.14},A,0.05,False,-1.0,False,1.0,1.0,c7.json,0,71211
