id,peak,total
393,5061,38811
410,4903,38967
395,5026,38869
398,4995,38783
412,5136,39102
402,4987,38734
397,5068,38805
399,5028,39315
400,4944,38961
406,5055,39211
407,5162,39125
405,5046,38872
409,5026,38827
411,5079,38844
415,5138,39282
422,5069,38983
414,4999,38829
413,5158,38971
417,5184,39041
426,5100,39002
416,5037,39240
418,5110,38692
419,5090,39141
430,5168,38911
421,5066,38931
429,4904,38722
420,5087,39117
424,5125,39123
433,4958,38994
423,4985,39065
425,5039,38966
428,5151,38953
427,5059,38924
431,5111,38956
434,5188,39180
435,5018,39073
436,5036,38995
432,5016,39268
438,5126,39044
448,5128,39206
444,5130,39006
437,5045,39076
439,4973,38824
451,5079,39459
440,5176,39073
443,5148,39264
455,5118,38950
454,5123,39128
441,5175,39165
442,5122,39218
447,5109,38892
457,5231,39534
445,5093,38903
446,5025,39085
452,5139,39368
450,5155,39251
449,5069,39110
453,5069,38987
456,5129,39243
460,5207,39252
468,5136,39122
458,5215,39150
469,5014,39036
459,5163,39591
472,5231,39367
461,5163,39180
475,5137,39300
462,5211,39330
463,5148,39301
471,5124,39361
466,5264,39217
467,5071,39122
480,5180,38963
476,5012,39213
474,5088,39266
465,5254,39160
464,5133,39245
470,5175,39326
484,5177,39519
473,5140,39112
479,5197,39773
478,5122,39427
477,5238,39662
483,4894,39228
482,5103,39253
481,5226,39128
486,4893,38801
487,4986,39362
485,5192,39281
488,5126,39207
489,5201,39149
493,5184,39219
490,5271,39147
495,5065,39303
499,5288,39477
498,5073,39394
491,5184,39568
492,5154,39223
497,5066,39368
494,5147,39327
496,5139,39530
500,10244,71940
507,9882,71638
513,10260,71783
521,10478,71060
518,9910,71332
504,10033,72372
508,10062,71560
519,9928,71293
503,10312,72305
520,10160,71079
501,10217,72202
506,10077,71662
502,10005,71999
509,10046,72002
505,10436,72182
515,9890,71382
516,9855,70689
512,9761,70990
510,10241,71242
511,10096,71415
523,10069,70878
514,10061,71262
524,10416,70937
517,9854,70643
525,10136,70824
